SMc02793,Atu0001
SMc02792,maf
aroE1,aroE
coaE,coaE
dnaQ,dnaQ
secB,secB
SMc02787,fxsA
SMc02786,Atu0008
SMc02785,mltA
SMc02784,Atu0010
SMc02783,Atu0011
gyrB,gyrB
SMc02781,Atu0013
gabD1,attK
TRm19,noHit
hpcH,Atu1014
SMc02777,noHit
SMc02776,Atu3817
SMc02775,Atu3528
SMc02774,rbsB
SMc02773,noHit
SMc02772,noHit
SMc02771,Atu2814
SMc02770,depA
SMc02769,noHit
SMc02768,Atu0016
trpF,trpF
trpB,trpB
trpA,trpA
accD,accD
folC,folC
TRm22,noHit
trxA,trxA
SMc02760,uvrD
SMc02759,Atu0024
SMc02758,Atu0025
SMc02757,Atu0026
SMc02756,Atu0027
ahcY,ahcY
SMc02754,ptsH
SMc02753,Atu0031
SMc02752,Atu0032
chvG,chvG
chvI,chvI
pckA,pckA
SMc02563,Atu0036
SMc02564,noHit
alkB,noHit
coaA,panK
hisE,hisE
hisF,hisF
hisA,hisA
hisH,hisH
SMc02573,Atu8115
hisB,hisB
hslV,hslV
SMc02576,noHit
hslU,hslU
SMc02578,Atu0046
SMc02579,cyc
SMc02580,noHit
glcB,glcB
SMc02582,Atu0048
SMc02583,Atu0049
actR,actR
actS,actS
helO,hrpB
SMc02587,noHit
SMc02588,noHit
SMc02589,noHit
SMc02590,noHit
SMc02591,noHit
SMc02592,noHit
SMc02593,noHit
SMc02594,noHit
metB,noHit
SMc02596,noHit
SMc04463,noHit
SMc02600,Atu1509
SMc02602,noHit
folD1,noHit
soxG,Atu4221
soxA1,soxA
soxD,soxD
soxB,soxB
glxA,glxA
glxB,purF
glxC,fwdC
glxD,gltB
glnT,glnA
SMc02614,noHit
SMc02615,noHit
SMc02616,noHit
SMc02617,noHit
SMc02618,noHit
SMc02619,noHit
SMc02620,Atu4226
purU2,purU
SMc04153,noHit
SMc04152,noHit
SMc04151,noHit
SMc04150,noHit
SMc04149,noHit
SMc04148,noHit
SMc04147,noHit
SMc04146,noHit
SMc04145,Atu3143
ilvD3,noHit
SMc04143,Atu4191
SMc04142,Atu4190
gst9,noHit
SMc04140,Atu3111
SMc04139,Atu3966
SMc04138,Atu3965
SMc04137,Atu3112
SMc04136,Atu3113
SMc04135,Atu3114
SMc04134,Atu3115
SMc04133,Atu3116
SMc04132,Atu3117
SMc04131,noHit
SMc04130,Atu3118
SMc04129,Atu3119
SMc04128,noHit
SMc04127,Atu0127
SMc04126,Atu0128
SMc04125,Atu0129
cdd,cdd
deoD,deoD
deoA,deoA
upp,upp
add,add
deoB,drm
SMc04118,Atu0147
SMc04117,Atu0148
TRm22,noHit
SMc04115,Atu0226
pilA1,ctpA
cpaA1,ctpB
cpaB1,ctpC
cpaC1,ctpD
cpaD1,ctpE
cpaE1,ctpF
cpaF1,ctpG
SMc02821,ctpH
SMc02822,ctpI
TRm22,noHit
SMc02824,Atu0215
pepA2,Atu0214
SMc02826,Atu0210
SMc02827,Atu0211
SMc02828,noHit
SMc02829,Atu0190
SMc02830,Atu0189
SMc02831,Atu0188
SMc02832,Atu0187
mepA,mepA
mgsA,mgsA
glk,glk
SMc02836,Atu4600
dapB,dapB
gpmA,noHit
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
SMc02841,ada
SMc02842,Atu4458
nth,Atu4457
SMc02844,noHit
SMc02845,noHit
SMc02846,Atu0079
SMc02847,noHit
SMc02848,Atu0078
gyaR,Atu0077
polA,polA
SMc02851,Atu0109
SMc02852,Atu0108
SMc02853,Atu1134
SMc02854,noHit
SMc02855,Atu4011
SMc02856,pbpC
dnaK,dnaK
dnaJ,dnaJ
SMc02859,noHit
SMc02860,noHit
pit,noHit
SMc02862,Atu4634
recF,Atu0073
moeB,moeB
SMc02865,Atu0075
SMc02866,acrR
SMc02867,Atu3202
SMc02868,Atu3203
SMc02869,noHit
SMc02870,noHit
SMc02871,noHit
SMc02872,noHit
SMc02873,noHit
SMc02874,noHit
SMc02875,noHit
SMc02876,Atu2606
SMc02877,glmS
nagA,nagA
cutC,cutC
SMc02880,Atu2609
SMc02881,gatA
SMc02882,Atu4456
SMc02883,Atu0119
SMc02884,Atu0126
msrA1,msrA
SMc02886,Atu0124
SMc02887,noHit
SMc02888,noHit
SMc02889,noHit
SMc02890,noHit
SMc02891,noHit
SMc02892,noHit
SMc02893,noHit
SMc02894,noHit
SMc02895,Atu0080
ilvE1,noHit
SMc02897,cycM
kdsB,kdsB
pheA,pheA
SMc02900,noHit
SMc02901,Atu0869
SMc02902,Atu0868
SMc02903,Atu0098
SMc02904,noHit
dnaX,Atu0096
SMc02906,Atu0095
SMc02907,noHit
recR,recR
mltB1,mltB
SMc02910,Atu0091
SMc02911,Atu0090
nusA,nusA
SMc02913,Atu0088
infB,infB
rbfA,rbfA
truB,truB
SMc00322,noHit
rpsO,rpsO
pnp,pnpA
rsmC,rsmC
fabI2,fabI
fabB,fabB
fabA,fabA
irr,irr
SMc00330,Atu0154
SMc00331,noHit
SMc00332,Atu8037
aroA,noHit
cmk,cmk
rpsA,rpsA
SMc00336,noHit
SMc00337,noHit
