SMc02793,mlr4488
SMc02792,mlr4491
aroE1,mlr4492
coaE,mlr4493
dnaQ,mlr4495
secB,mll4541
SMc02787,mll4543
SMc02786,mlr4544
SMc02785,mlr4546
SMc02784,mlr4547
SMc02783,mlr4548
gyrB,mll5188
SMc02781,noHit
gabD1,mll1168
TRm19,mlr4143
hpcH,mll5426
SMc02777,mll3328
SMc02776,mlr3330
SMc02775,mlr3332
SMc02774,mlr3334
SMc02773,mlr3336
SMc02772,mlr3338
SMc02771,mlr3340
SMc02770,mll4552
SMc02769,mlr5066
SMc02768,mlr5068
trpF,mlr5070
trpB,mlr5071
trpA,mlr5073
accD,mlr5075
folC,mlr5076
TRm22,noHit
trxA,mll5082
SMc02760,mll5083
SMc02759,mll5084
SMc02758,mll5085
SMc02757,mll5086
SMc02756,mll5087
ahcY,mll5088
SMc02754,msl5090
SMc02753,mll5091
SMc02752,mll5093
chvG,mll5094
chvI,mll5095
pckA,mlr5096
SMc02563,mlr5097
SMc02564,noHit
alkB,mlr5099
coaA,mlr5019
hisE,mlr5018
hisF,mlr5016
hisA,mlr5014
hisH,mlr5011
SMc02573,mlr5010
hisB,mlr5008
hslV,mll5007
SMc02576,mll5006
hslU,mll5004
SMc02578,mll5001
SMc02579,mlr5192
SMc02580,mlr4662
glcB,mlr4664
SMc02582,mlr5313
SMc02583,mll5310
actR,mlr5308
actS,mlr5307
helO,mlr5306
SMc02587,noHit
SMc02588,noHit
SMc02589,noHit
SMc02590,mll2144
SMc02591,noHit
SMc02592,noHit
SMc02593,noHit
SMc02594,mll0364
metB,mll4503
SMc02596,mlr7346
SMc04463,mll4305
SMc02600,mll8143
SMc02602,noHit
folD1,noHit
soxG,mll6237
soxA1,mll6238
soxD,msl6239
soxB,mll6240
glxA,mlr6241
glxB,mll7311
glxC,mll7310
glxD,mll7308
glnT,mll7307
SMc02614,mll7312
SMc02615,noHit
SMc02616,mll7315
SMc02617,msl7316
SMc02618,mll7317
SMc02619,mll7319
SMc02620,mll7326
purU2,noHit
SMc04153,mlr7320
SMc04152,mlr7321
SMc04151,mlr7322
SMc04150,mlr7324
SMc04149,mlr7328
SMc04148,noHit
SMc04147,mll7301
SMc04146,mlr6575
SMc04145,noHit
ilvD3,noHit
SMc04143,noHit
SMc04142,noHit
gst9,mll1903
SMc04140,noHit
SMc04139,noHit
SMc04138,noHit
SMc04137,noHit
SMc04136,noHit
SMc04135,noHit
SMc04134,noHit
SMc04133,noHit
SMc04132,noHit
SMc04131,noHit
SMc04130,noHit
SMc04129,noHit
SMc04128,mll2475
SMc04127,mlr3154
SMc04126,mlr3155
SMc04125,mlr3157
cdd,mlr3158
deoD,mlr3159
deoA,mlr3160
upp,mll3162
add,mll3163
deoB,mll5587
SMc04118,noHit
SMc04117,noHit
TRm22,noHit
SMc04115,mll5591
pilA1,msr5593
cpaA1,mlr5594
cpaB1,mlr5595
cpaC1,mlr5597
cpaD1,mlr5598
cpaE1,mlr5600
cpaF1,mlr5602
SMc02821,mlr5603
SMc02822,mlr5604
TRm22,noHit
SMc02824,mll5605
pepA2,mlr5606
SMc02826,mlr5607
SMc02827,mlr5608
SMc02828,mll5489
SMc02829,mll5490
SMc02830,mll5492
SMc02831,mll5491
SMc02832,mll5494
mepA,mlr4639
mgsA,noHit
glk,mlr4640
SMc02836,mlr4641
