Locus,Rhizobium_etli_CFN_42,Brucella_abortus_C68,Ensifer_adhaerens_OV14,Bradyrhizobium_diazoefficiens_USDA_110,Sinorhizobium_fredii_NGR234,Sinorhizobium_meliloti_Rm1021,Liberibacter_crescens_BT-0,Sinorhizobium_medicae_WSM419,Rhizobium_leguminosarum_bv_viciae_3841,Agrobacterium_fabrum_C58,Mesorhizobium_loti_MAFF303099,Locus,,,,,SMc02793,SMc02793
SMc02793,RHE_CH00001,DK53_1986,OV14_0877,blr0637,NGR_c33500,SMc02793,noHit,Smed_3209,RL0001,Atu0001,mlr4488,SMc02793,,,,,SMc02792,SMc02792
SMc02792,RHE_CH00002,maf,OV14_0878,blr0638,NGR_c33510,SMc02792,RL73_00165,Smed_3210,RL0002,maf,mlr4491,SMc02792,,,,,aroE1,SMc02791
aroE1,aroEch1,aroE,aroE,aroE,aroE,aroE1,RL73_00160,Smed_3211,RL0003,aroE,mlr4492,SMc02791,,,,,coaE,SMc02790
coaE,coaE,coaE,coaE,coaE,coaE,coaE,RL73_00155,Smed_3212,RL0004,coaE,mlr4493,SMc02790,,,,,dnaQ,SMc02789
dnaQ,dnaQ,dnaQ,dnaQ,dnaQ,dnaQ,dnaQ,RL73_00150,Smed_3213,RL0005,dnaQ,mlr4495,SMc02789,,,,,secB,SMc02788
secB,secB,secB,secB,secB,secB,secB,RL73_00145,Smed_3214,secB,secB,mll4541,SMc02788,,,,,SMc02787,SMc02787
SMc02787,RHE_CH00007,DK53_1992,OV14_0883,noHit,NGR_c33560,SMc02787,noHit,Smed_3215,RL0007,fxsA,mll4543,SMc02787,,,,,SMc02786,SMc02786
SMc02786,RHE_CH00008,DK53_1993,OV14_0884,blr0642,NGR_c33570,SMc02786,RL73_00140,Smed_3216,RL0008,Atu0008,mlr4544,SMc02786,,,,,SMc02785,SMc02785
SMc02785,RHE_CH00009,mltA,mltA,blr0643,mltA,SMc02785,noHit,Smed_3217,mltA,mltA,mlr4546,SMc02785,,,,,SMc02784,SMc02784
SMc02784,RHE_CH00010,DK53_1995,OV14_0886,noHit,NGR_c33590,SMc02784,noHit,Smed_3218,RL0010,Atu0010,mlr4547,SMc02784,,,,,SMc02783,SMc02783
SMc02783,RHE_CH00011,DK53_1996,OV14_0887,noHit,NGR_c33600,SMc02783,noHit,Smed_3219,RL0011,Atu0011,mlr4548,SMc02783,,,,,gyrB,SMc02782
gyrB,gyrB,gyrB,gyrB,gyrB,gyrB,gyrB,RL73_00135,Smed_3220,gyrB1,gyrB,mll5188,SMc02782,,,,,SMc02781,SMc02781
SMc02781,RHE_CH00013,noHit,OV14_0889,noHit,NGR_c33620,SMc02781,RL73_00130,Smed_3221,RL0013,Atu0013,noHit,SMc02781,,,,,gabD1,SMc02780
gabD1,gabDc,DK53_1595,OV14_0890,blr0807,NGR_c33630,gabD1,noHit,Smed_3222,gabD4,attK,mll1168,SMc02780,,,,,TRm19,SMc02779
TRm19,noHit,noHit,noHit,noHit,NGR_c05360,TRm19,noHit,noHit,noHit,noHit,mlr4143,SMc02779,,,,,hpcH,SMc02778
hpcH,hpaI,hpaI,OV14_0891,blr5703,NGR_c33640,hpcH,noHit,Smed_3223,noHit,Atu1014,mll5426,SMc02778,,,,,SMc02777,SMc02777
SMc02777,RHE_CH00496,noHit,OV14_0893,noHit,NGR_c33650,SMc02777,noHit,Smed_3224,RL0522,noHit,mll3328,SMc02777,,,,,SMc02776,SMc02776
