SMc02793,NGR_c33500
SMc02792,NGR_c33510
aroE1,aroE
coaE,coaE
dnaQ,dnaQ
secB,secB
SMc02787,NGR_c33560
SMc02786,NGR_c33570
SMc02785,mltA
SMc02784,NGR_c33590
SMc02783,NGR_c33600
gyrB,gyrB
SMc02781,NGR_c33620
gabD1,NGR_c33630
TRm19,NGR_c05360
hpcH,NGR_c33640
SMc02777,NGR_c33650
SMc02776,NGR_c33660
SMc02775,NGR_c33670
SMc02774,NGR_c33680
SMc02773,NGR_c33690
SMc02772,NGR_c33700
SMc02771,NGR_c33710
SMc02770,NGR_c33730
SMc02769,NGR_c33750
SMc02768,NGR_c33760
trpF,trpF
trpB,trpB
trpA,trpA
accD,accD
folC,folC
TRm22,NGR_b14590
trxA,trxA
SMc02760,NGR_c33830
SMc02759,NGR_c33840
SMc02758,NGR_c33850
SMc02757,NGR_c33860
SMc02756,NGR_c33870
ahcY,ahcY
SMc02754,NGR_c33890
SMc02753,NGR_c33900
SMc02752,NGR_c33910
chvG,NGR_c33920
chvI,NGR_c33930
pckA,pckA
SMc02563,NGR_c33950
SMc02564,NGR_c33960
alkB,NGR_c33970
coaA,coaA
hisE,hisE
hisF,hisF
hisA,hisA
hisH,hisH
SMc02573,NGR_c34030
hisB,hisB
hslV,hslV
SMc02576,NGR_c34060
hslU,hslU
SMc02578,NGR_c34080
SMc02579,NGR_c34090
SMc02580,NGR_c34100
glcB,glcB
SMc02582,NGR_c34120
SMc02583,NGR_c34130
actR,NGR_c34140
actS,NGR_c34150
helO,NGR_c34160
SMc02587,NGR_c34170
SMc02588,NGR_c34180
SMc02589,NGR_c34190
SMc02590,noHit
SMc02591,noHit
SMc02592,noHit
SMc02593,noHit
SMc02594,noHit
metB,noHit
SMc02596,noHit
SMc04463,NGR_c04690
SMc02600,NGR_b14070
SMc02602,noHit
folD1,noHit
soxG,soxG2
soxA1,soxA2
soxD,soxD2
soxB,soxB2
glxA,NGR_c14370
glxB,glxB
glxC,glxC
glxD,glxD
glnT,glnT
SMc02614,noHit
SMc02615,noHit
SMc02616,noHit
SMc02617,noHit
SMc02618,noHit
SMc02619,noHit
SMc02620,NGR_c14430
purU2,purU2
SMc04153,noHit
SMc04152,noHit
SMc04151,noHit
SMc04150,noHit
SMc04149,noHit
SMc04148,noHit
SMc04147,noHit
SMc04146,NGR_c05700
SMc04145,NGR_b22180
ilvD3,noHit
SMc04143,NGR_b22170
SMc04142,NGR_b22160
gst9,noHit
SMc04140,NGR_b18040
SMc04139,NGR_b18030
SMc04138,NGR_b18020
SMc04137,NGR_b18010
SMc04136,NGR_b18000
SMc04135,NGR_b17990
SMc04134,NGR_b17980
SMc04133,NGR_b17970
SMc04132,NGR_b17960
SMc04131,NGR_b17950
SMc04130,NGR_b17940
SMc04129,NGR_b17930
SMc04128,NGR_c34490
SMc04127,NGR_c34500
SMc04126,NGR_c34510
SMc04125,NGR_c34520
cdd,NGR_c34530
deoD,deoD
deoA,deoA
upp,NGR_c34570
add,NGR_c34590
deoB,deoB
SMc04118,tadE1
SMc04117,tadG1
TRm22,NGR_b14590
SMc04115,pilQ1
pilA1,pilA1
cpaA1,capA1
cpaB1,cpaB1
cpaC1,cpaC1
cpaD1,cpaD
cpaE1,cpaE1
cpaF1,cpaF2
SMc02821,NGR_c34710
SMc02822,tadC1
TRm22,NGR_b14590
SMc02824,NGR_c34740
pepA2,NGR_c34750
SMc02826,NGR_c34760
SMc02827,NGR_c34770
SMc02828,NGR_c34780
SMc02829,NGR_c34790
SMc02830,NGR_c34800
SMc02831,NGR_c34810
SMc02832,NGR_a00920
mepA,NGR_c34830
mgsA,mgsA
glk,glk
SMc02836,msbA
dapB,dapB
gpmA,gpmA
TRm5C,noHit
TRm3,NGR_a01970
TRm5N,noHit
SMc02841,NGR_c34900
SMc02842,NGR_c34910
nth,NGR_c34920
SMc02844,NGR_c34930
SMc02845,NGR_c34940
SMc02846,NGR_c34950
SMc02847,noHit
SMc02848,NGR_c34960
gyaR,gyaR
polA,polA
SMc02851,NGR_c35140
SMc02852,NGR_c35130
SMc02853,NGR_c35120
SMc02854,NGR_c35100
SMc02855,NGR_c35090
SMc02856,NGR_c35080
dnaK,dnaK2
dnaJ,dnaJ1
SMc02859,NGR_c35040
SMc02860,NGR_c35030
pit,NGR_c35020
SMc02862,NGR_c35010
recF,recF
moeB,NGR_c34990
SMc02865,NGR_c34980
SMc02866,NGR_c35200
SMc02867,NGR_c35210
SMc02868,NGR_c35220
SMc02869,NGR_c35250
SMc02870,NGR_c35260
SMc02871,NGR_c35270
SMc02872,NGR_c35280
SMc02873,NGR_c35290
SMc02874,NGR_c35300
SMc02875,NGR_c35310
SMc02876,NGR_c35320
