SMc02793,DK53_1986
SMc02792,maf
aroE1,aroE
coaE,coaE
dnaQ,dnaQ
secB,secB
SMc02787,DK53_1992
SMc02786,DK53_1993
SMc02785,mltA
SMc02784,DK53_1995
SMc02783,DK53_1996
gyrB,gyrB
SMc02781,noHit
gabD1,DK53_1595
TRm19,noHit
hpcH,hpaI
SMc02777,noHit
SMc02776,DK53_2422
SMc02775,noHit
SMc02774,noHit
SMc02773,noHit
SMc02772,noHit
SMc02771,noHit
SMc02770,noHit
SMc02769,DK53_2030
SMc02768,DK53_2029
trpF,DK53_2027
trpB,trpB
trpA,trpA
accD,accD
folC,folC
TRm22,noHit
trxA,trxA
SMc02760,addA
SMc02759,addB
SMc02758,DK53_2018
SMc02757,DK53_2017
SMc02756,DK53_2016
ahcY,ahcY
SMc02754,DK53_2014
SMc02753,DK53_2013
SMc02752,DK53_2012
chvG,DK53_2011
chvI,DK53_2010
pckA,pckA
SMc02563,DK53_2007
SMc02564,noHit
alkB,alkB
coaA,coaA
hisE,hisE
hisF,hisF
hisA,hisA
hisH,hisH
SMc02573,DK53_2001
hisB,DK53_2000
hslV,hslV
SMc02576,noHit
hslU,hslU
SMc02578,DK53_1997
SMc02579,noHit
SMc02580,noHit
glcB,glcB
SMc02582,DK53_151
SMc02583,DK53_150
actR,regA
actS,regB
helO,hrpB
SMc02587,noHit
SMc02588,noHit
SMc02589,noHit
SMc02590,noHit
SMc02591,noHit
SMc02592,noHit
SMc02593,noHit
SMc02594,noHit
metB,noHit
SMc02596,noHit
SMc04463,noHit
SMc02600,noHit
SMc02602,noHit
folD1,noHit
soxG,noHit
soxA1,noHit
soxD,noHit
soxB,noHit
glxA,noHit
glxB,noHit
glxC,noHit
glxD,noHit
glnT,noHit
SMc02614,noHit
SMc02615,noHit
SMc02616,noHit
SMc02617,noHit
SMc02618,noHit
SMc02619,noHit
SMc02620,noHit
purU2,purU
SMc04153,noHit
SMc04152,noHit
SMc04151,noHit
SMc04150,noHit
SMc04149,noHit
SMc04148,noHit
SMc04147,noHit
SMc04146,noHit
SMc04145,noHit
ilvD3,noHit
SMc04143,noHit
SMc04142,noHit
gst9,noHit
SMc04140,noHit
SMc04139,noHit
SMc04138,noHit
SMc04137,noHit
SMc04136,noHit
SMc04135,noHit
SMc04134,noHit
SMc04133,noHit
SMc04132,noHit
SMc04131,noHit
SMc04130,noHit
SMc04129,noHit
SMc04128,noHit
SMc04127,DK53_3121
SMc04126,noHit
SMc04125,noHit
cdd,noHit
deoD,noHit
deoA,noHit
upp,upp
add,noHit
deoB,noHit
SMc04118,noHit
SMc04117,noHit
TRm22,noHit
SMc04115,noHit
pilA1,noHit
cpaA1,noHit
cpaB1,noHit
cpaC1,noHit
cpaD1,noHit
cpaE1,noHit
cpaF1,noHit
SMc02821,noHit
SMc02822,noHit
TRm22,noHit
SMc02824,noHit
pepA2,DK53_14
SMc02826,DK53_13
SMc02827,DK53_12
SMc02828,DK53_23
SMc02829,nikE
SMc02830,DK53_25
SMc02831,DK53_26
SMc02832,DK53_28
mepA,DK53_2195
mgsA,mgsA
glk,glk
SMc02836,DK53_2192
dapB,dapB
gpmA,gpm1
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
SMc02841,noHit
SMc02842,DK53_175
nth,nth
SMc02844,noHit
SMc02845,noHit
SMc02846,DK53_178
SMc02847,noHit
SMc02848,DK53_8
gyaR,DK53_10
polA,polA
SMc02851,noHit
SMc02852,DK53_134
SMc02853,DK53_1303
SMc02854,noHit
SMc02855,noHit
SMc02856,DK53_130
dnaK,dnaK
dnaJ,dnaJ
SMc02859,noHit
SMc02860,noHit
pit,noHit
SMc02862,noHit
recF,recF
moeB,DK53_22
SMc02865,noHit
SMc02866,bepR
SMc02867,noHit
SMc02868,bepD
SMc02869,DK53_2686
SMc02870,DK53_2687
SMc02871,DK53_2688
SMc02872,DK53_2689
SMc02873,noHit
SMc02874,noHit
SMc02875,DK53_2692
SMc02876,DK53_2693
SMc02877,DK53_2325
nagA,nagA
cutC,noHit
SMc02880,noHit
SMc02881,noHit
SMc02882,DK53_177
SMc02883,DK53_2174
SMc02884,DK53_3120
msrA1,msrA
SMc02886,noHit
SMc02887,noHit
SMc02888,noHit
SMc02889,noHit
SMc02890,noHit
SMc02891,noHit
SMc02892,DK53_2223
SMc02893,noHit
SMc02894,noHit
SMc02895,noHit
ilvE1,noHit
SMc02897,DK53_56
kdsB,kdsB
pheA,DK53_54
SMc02900,DK53_2552
SMc02901,noHit
SMc02902,DK53_1678
SMc02903,DK53_53
SMc02904,noHit
dnaX,dnaX
SMc02906,DK53_50
SMc02907,DK53_2957
recR,recR
mltB1,DK53_48
SMc02910,DK53_2843
SMc02911,DK53_2075
nusA,nusA
SMc02913,DK53_2077
infB,noHit
rbfA,rbfA
truB,truB
SMc00322,noHit
rpsO,rpsO
pnp,pnp
rsmC,noHit
fabI2,DK53_3
fabB,DK53_4
fabA,fabA
irr,DK53_6
SMc00330,DK53_179
SMc00331,DK53_1162
SMc00332,DK53_42
aroA,aroA
cmk,cmk
rpsA,rpsA
SMc00336,noHit
