SMc02793,OV14_0877
SMc02792,OV14_0878
aroE1,aroE
coaE,coaE
dnaQ,dnaQ
secB,secB
SMc02787,OV14_0883
SMc02786,OV14_0884
SMc02785,mltA
SMc02784,OV14_0886
SMc02783,OV14_0887
gyrB,gyrB
SMc02781,OV14_0889
gabD1,OV14_0890
TRm19,noHit
hpcH,OV14_0891
SMc02777,OV14_0893
SMc02776,OV14_0894
SMc02775,OV14_0895
SMc02774,OV14_0896
SMc02773,OV14_0897
SMc02772,OV14_0898
SMc02771,OV14_0900
SMc02770,OV14_0902
SMc02769,OV14_0903
SMc02768,OV14_0904
trpF,trpF
trpB,trpB
trpA,trpA
accD,accD
folC,folC
TRm22,noHit
trxA,trxA
SMc02760,OV14_0913
SMc02759,OV14_0914
SMc02758,OV14_0915
SMc02757,OV14_0916
SMc02756,OV14_0917
ahcY,noHit
SMc02754,OV14_0919
SMc02753,noHit
SMc02752,OV14_0922
chvG,chvG
chvI,chvI
pckA,pckA
SMc02563,OV14_0926
SMc02564,OV14_0927
alkB,OV14_0929
coaA,coaA
hisE,hisE
hisF,hisF
hisA,hisA
hisH,hisH
SMc02573,OV14_0935
hisB,hisB
hslV,hslV
SMc02576,OV14_0938
hslU,hslU
SMc02578,OV14_0941
SMc02579,OV14_0942
SMc02580,OV14_0944
glcB,glcB
SMc02582,OV14_0948
SMc02583,OV14_0949
actR,OV14_0950
actS,OV14_0951
helO,OV14_0952
SMc02587,OV14_0953
SMc02588,OV14_0954
SMc02589,OV14_0955
SMc02590,noHit
SMc02591,noHit
SMc02592,noHit
SMc02593,noHit
SMc02594,noHit
metB,metZ
SMc02596,noHit
SMc04463,OV14_3282
SMc02600,OV14_a0525
SMc02602,noHit
folD1,noHit
soxG,soxG2
soxA1,soxA2
soxD,soxD2
soxB,soxB2
glxA,noHit
glxB,noHit
glxC,noHit
glxD,noHit
glnT,noHit
SMc02614,noHit
SMc02615,noHit
SMc02616,noHit
SMc02617,noHit
SMc02618,noHit
SMc02619,noHit
SMc02620,OV14_b0245
purU2,noHit
SMc04153,noHit
SMc04152,noHit
SMc04151,noHit
SMc04150,noHit
SMc04149,noHit
SMc04148,noHit
SMc04147,noHit
SMc04146,OV14_a0006
SMc04145,OV14_a1866
ilvD3,noHit
SMc04143,noHit
SMc04142,noHit
gst9,noHit
SMc04140,OV14_b0199
SMc04139,noHit
SMc04138,noHit
SMc04137,OV14_b0200
SMc04136,OV14_b0201
SMc04135,noHit
SMc04134,noHit
SMc04133,noHit
SMc04132,noHit
SMc04131,noHit
SMc04130,noHit
SMc04129,noHit
SMc04128,OV14_0962
SMc04127,OV14_0963
SMc04126,OV14_0964
SMc04125,OV14_0965
cdd,OV14_0966
deoD,deoD
deoA,deoA
upp,OV14_0970
add,OV14_0971
deoB,deoB
SMc04118,tadE1
SMc04117,tadG1
TRm22,noHit
SMc04115,pilQ1
pilA1,pilA1
cpaA1,noHit
cpaB1,cpaB1
cpaC1,cpaC1
cpaD1,cpaD
cpaE1,cpaE1
cpaF1,cpaF2
SMc02821,OV14_0982
SMc02822,tadC1
TRm22,noHit
SMc02824,OV14_0984
pepA2,OV14_0985
SMc02826,OV14_0987
SMc02827,OV14_0988
SMc02828,OV14_0989
SMc02829,OV14_0990
SMc02830,OV14_0991
SMc02831,OV14_0992
SMc02832,OV14_0994
mepA,OV14_0996
mgsA,mgsA
glk,glk
SMc02836,msbA
dapB,dapB
gpmA,gpmA
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
SMc02841,OV14_1002
SMc02842,OV14_1003
nth,OV14_1004
SMc02844,OV14_1005
SMc02845,OV14_1006
SMc02846,OV14_1007
SMc02847,noHit
SMc02848,OV14_1008
gyaR,gyaR
polA,polA
SMc02851,OV14_1032
SMc02852,OV14_1031
SMc02853,OV14_1028
SMc02854,OV14_1027
SMc02855,OV14_1026
SMc02856,OV14_1022
dnaK,dnaK2
dnaJ,dnaJ1
SMc02859,OV14_1019
SMc02860,OV14_1018
pit,OV14_1014
SMc02862,OV14_1013
recF,recF
moeB,OV14_1011
SMc02865,OV14_1010
SMc02866,OV14_1036
