SMc02793,blr0637
SMc02792,blr0638
aroE1,aroE
coaE,coaE
dnaQ,dnaQ
secB,secB
SMc02787,noHit
SMc02786,blr0642
SMc02785,blr0643
SMc02784,noHit
SMc02783,noHit
gyrB,gyrB
SMc02781,noHit
gabD1,blr0807
TRm19,noHit
hpcH,blr5703
SMc02777,noHit
SMc02776,blr2974
SMc02775,noHit
SMc02774,noHit
SMc02773,noHit
SMc02772,noHit
SMc02771,noHit
SMc02770,blr0908
SMc02769,bll7160
SMc02768,blr0909
trpF,trpF
trpB,trpB
trpA,trpA
accD,accD
folC,folC
TRm22,noHit
trxA,trxA
SMc02760,bll0752
SMc02759,bll0753
SMc02758,galF
SMc02757,bll0756
SMc02756,bdfA
ahcY,ahcY
SMc02754,ptsH
SMc02753,blr8147
SMc02752,blr8146
chvG,blr8145
chvI,blr8144
pckA,pckA
SMc02563,blr7486
SMc02564,noHit
alkB,alkB
coaA,panK
hisE,hisE
hisF,hisF
hisA,hisA
hisH,hisH
SMc02573,noHit
hisB,hisB
hslV,hslV
SMc02576,bll0648
hslU,hslU
SMc02578,noHit
SMc02579,bll0557
SMc02580,noHit
glcB,glcB
SMc02582,noHit
SMc02583,blr0903
actR,regR
actS,regS
helO,bll8128
SMc02587,noHit
SMc02588,noHit
SMc02589,noHit
SMc02590,noHit
SMc02591,noHit
SMc02592,noHit
SMc02593,noHit
SMc02594,noHit
metB,noHit
SMc02596,noHit
SMc04463,blr5564
SMc02600,noHit
SMc02602,noHit
folD1,noHit
soxG,noHit
soxA1,noHit
soxD,noHit
soxB,noHit
glxA,noHit
glxB,noHit
glxC,noHit
glxD,noHit
glnT,noHit
SMc02614,noHit
SMc02615,noHit
SMc02616,noHit
SMc02617,noHit
SMc02618,noHit
SMc02619,noHit
SMc02620,noHit
purU2,purU
SMc04153,noHit
SMc04152,noHit
SMc04151,noHit
SMc04150,noHit
SMc04149,noHit
SMc04148,noHit
SMc04147,noHit
SMc04146,bll2518
SMc04145,blr2818
ilvD3,ilvD
SMc04143,noHit
SMc04142,noHit
gst9,noHit
SMc04140,blr1895
SMc04139,noHit
SMc04138,noHit
SMc04137,noHit
SMc04136,noHit
SMc04135,noHit
SMc04134,blr2835
SMc04133,blr2840
SMc04132,blr2841
SMc04131,blr2839
SMc04130,blr2842
SMc04129,noHit
SMc04128,noHit
SMc04127,blr6152
SMc04126,noHit
SMc04125,noHit
cdd,noHit
deoD,blr0960
deoA,noHit
upp,upp
add,noHit
deoB,noHit
SMc04118,noHit
SMc04117,noHit
TRm22,noHit
SMc04115,noHit
pilA1,noHit
cpaA1,noHit
cpaB1,ctpC
cpaC1,ctpD
cpaD1,ctpE
cpaE1,ctpF
cpaF1,noHit
SMc02821,ctpH
SMc02822,ctpI
TRm22,noHit
SMc02824,blr1433
pepA2,bll1431
SMc02826,noHit
SMc02827,bll1430
SMc02828,blr7172
SMc02829,blr1428
SMc02830,blr1427
SMc02831,blr1426
SMc02832,blr1424
mepA,mepA
mgsA,noHit
glk,blr4550
SMc02836,blr5932
dapB,dapB
gpmA,blr0686
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
SMc02841,bll0687
SMc02842,bll0688
nth,blr0689
SMc02844,blr2396
SMc02845,noHit
SMc02846,blr0804
SMc02847,noHit
SMc02848,blr0767
gyaR,bll0766
polA,polA
SMc02851,noHit
SMc02852,dapE
SMc02853,noHit
SMc02854,noHit
SMc02855,noHit
SMc02856,pbpC
dnaK,dnaK
dnaJ,dnaJ
SMc02859,noHit
SMc02860,noHit
pit,blr4043
SMc02862,blr4042
recF,recF
moeB,moeB
SMc02865,noHit
SMc02866,noHit
SMc02867,acrB
SMc02868,acrA
SMc02869,noHit
SMc02870,noHit
SMc02871,noHit
SMc02872,noHit
SMc02873,noHit
SMc02874,noHit
SMc02875,noHit
SMc02876,noHit
SMc02877,noHit
nagA,noHit
cutC,noHit
SMc02880,noHit
SMc02881,blr2960
SMc02882,bll0692
SMc02883,bsl2402
SMc02884,noHit
msrA1,msrA
SMc02886,noHit
SMc02887,noHit
SMc02888,noHit
SMc02889,noHit
SMc02890,noHit
SMc02891,noHit
SMc02892,blr5151
SMc02893,noHit
SMc02894,noHit
SMc02895,blr7387
ilvE1,bll7459
SMc02897,cycM
kdsB,kdsB
pheA,pheA
SMc02900,noHit
SMc02901,noHit
SMc02902,blr7851
SMc02903,blr8123
SMc02904,noHit
dnaX,bll8116
SMc02906,bll8115
SMc02907,noHit
recR,recR
mltB1,bll6684
SMc02910,blr0559
SMc02911,bll0786
nusA,nusA
SMc02913,bll0784
infB,infB
rbfA,rbfA
truB,truB
SMc00322,noHit
rpsO,rpsO
pnp,pnpA
rsmC,noHit
fabI2,fabI
fabB,fabB
fabA,fabA
irr,irr
SMc00330,bll5340
SMc00331,bll4980
SMc00332,noHit
aroA,aroA
cmk,cmk
rpsA,rpsA
SMc00336,noHit
SMc00337,blr6624
SMc00338,noHit
cyaA,noHit
SMc00340,noHit
SMc00341,noHit
rnd2,blr0719
TRm20,noHit
SMc00344,noHit
SMc00345,noHit
SMc00346,noHit
rnk,noHit
SMc00348,noHit
lepA,lepA
SMc00350,noHit
SMc00351,blr1115
SMc00352,noHit
exoD,noHit
SMc00354,noHit
kamA,blr4388
genX,blr4387
efp,efp
cfa1,noHit
SMc00359,blr7895
SMc00360,noHit
SMc00361,blr0711
infC,bll0710
rpmI,rpmI
rplT,rplT
pheS,pheS
pheT,pheT
SMc00367,noHit
SMc00368,noHit
SMc00369,noHit
SMc00370,noHit
SMc00371,blr6172
SMc00372,blr5444
SMc00373,noHit
SMc00374,noHit
SMc00375,noHit
SMc00376,noHit
SMc00377,bll5781
xseA,blr7507
SMc00379,noHit
pecS,noHit
pecM,noHit
SMc00382,bll7941
gst3,blr4332
SMc00384,blr1163
SMc00385,blr2318
SMc00386,blr4035
tatA,noHit
SMc00388,noHit
SMc00389,noHit
SMc00390,noHit
SMc00391,noHit
SMc00392,noHit
SMc00393,noHit
guaA,guaA
pfs,noHit
SMc00396,blr1346
SMc00397,noHit
SMc00460,noHit
corA1,corA
SMc00400,noHit
SMc00401,noHit
SMc00402,noHit
sun2,blr3985
SMc00404,noHit
SMc00405,blr6839
SMc00406,bll0714
gst4,bll0715
SMc00408,blr0716
SMc00409,noHit
SMc00410,bll0717
SMc00411,blr0684
pyrF,pyrF
SMc00413,noHit
pmtA,pmtA
dnaN,dnaN
SMc00416,bll0670
SMc00418,bll0669
gshB1,gshB
SMc00420,bll0661
cysK1,cysK
SMc00422,noHit
SMc00423,blr8132
SMc00424,noHit
SMc00425,noHit
dnaS,dut
prfC,prfC
SMc00428,noHit
SMc00429,noHit
SMc00430,bll0593
SMc00431,bll4941
iolB,noHit
iolE,noHit
iolD,noHit
iolC,noHit
SMc01164,noHit
SMc01163,noHit
SMc01162,bll3765
coaBC,dfp
SMc01160,blr7974
SMc01159,noHit
SMc01158,noHit
SMc01157,blr7888
aarF,aarF
ubiE,ubiE
mutM,blr0762
SMc01153,fadB
rpsT,rpsT
dnaA,dnaA
SMc01151,bll7171
SMc01150,bll7170
SMc01149,bll5290
SMc01148,noHit
SMc01147,hemN
SMc01146,bll0673
SMc01145,noHit
rph,rph
hrcA,hrcA
grpE,grpE
ptsN,ptsN
SMc01140,blr0724
rpoN,rpoN2
SMc01138,blr0722
SMc01137,blr0721
SMc01136,noHit
SMc01135,blr0741
ihfB,ihfB
SMc01133,blr0743
SMc01132,bll5666
SMc01131,noHit
SMc01130,noHit
lspA,blr7482
SMc01128,bll0659
olsB,noHit
tme,noHit
mutS,mutS
glnD,glnD
mviN,bll5916
SMc01122,noHit
trpS,trpS
SMc01120,bll0801
SMc01119,bll0800
SMc01118,bll0799
rimI,bll0798
plsC,noHit
miaB,bll0795
phoH,phoH
SMc01113,bll0793
tlyC,bll0792
lnt,lnt
phrR,bll0790
metK,metK
trmB,bll0788
SMc01107,bsl0728
SMc01106,hspH
iunH,noHit
mcpX,noHit
rbsK,rbsK
SMc01102,blr8110
def1,def
fmt,fmt
truA,truA
TRm19C,noHit
TRm19N,noHit
SMc01097,noHit
dapE,dapE
mexF1,bll3871
mexE1,bll3872
SMc01093,noHit
SMc01092,noHit
SMc01091,noHit
deaD,deaD
SMc01089,noHit
