SMc02793,RHE_CH00001
SMc02792,RHE_CH00002
aroE1,aroEch1
coaE,coaE
dnaQ,dnaQ
secB,secB
SMc02787,RHE_CH00007
SMc02786,RHE_CH00008
SMc02785,RHE_CH00009
SMc02784,RHE_CH00010
SMc02783,RHE_CH00011
gyrB,gyrB
SMc02781,RHE_CH00013
gabD1,gabDc
TRm19,noHit
hpcH,hpaI
SMc02777,RHE_CH00496
SMc02776,RHE_CH00495
SMc02775,RHE_CH00494
SMc02774,RHE_CH00492
SMc02773,RHE_CH00491
SMc02772,RHE_CH00490
SMc02771,RHE_CH00489
SMc02770,RHE_CH00017
SMc02769,RHE_CH00018
SMc02768,RHE_CH00019
trpF,trpF
trpB,trpB
trpA,trpA
accD,accD
folC,folC
TRm22,RHE_PA00071
trxA,trxA1
SMc02760,RHE_CH00026
SMc02759,RHE_CH00027
SMc02758,RHE_CH00028
SMc02757,RHE_CH00029
SMc02756,RHE_CH00030
ahcY,ahcY
SMc02754,RHE_CH00032
SMc02753,RHE_CH00033
SMc02752,RHE_CH00034
chvG,chvG
chvI,chvI
pckA,pckA
SMc02563,RHE_CH00038
SMc02564,noHit
alkB,alkB
coaA,coaA
hisE,hisE
hisF,hisF
hisA,hisA
hisH,hisH
SMc02573,RHE_CH00046
hisB,hisB
hslV,hslV
SMc02576,noHit
hslU,hslU
SMc02578,RHE_CH00051
SMc02579,RHE_CH00051
SMc02580,noHit
glcB,glcB
SMc02582,RHE_CH00053
SMc02583,RHE_CH00054
actR,actR
actS,actS
helO,helO
SMc02587,noHit
SMc02588,noHit
SMc02589,noHit
SMc02590,noHit
SMc02591,noHit
SMc02592,noHit
SMc02593,noHit
SMc02594,noHit
metB,noHit
SMc02596,noHit
SMc04463,noHit
SMc02600,RHE_PF00331
SMc02602,noHit
folD1,noHit
soxG,soxGe
soxA1,soxAe
soxD,soxDe
soxB,soxBe
glxA,glxA
glxB,glxB
glxC,glxC
glxD,glxD
glnT,glnT
SMc02614,noHit
SMc02615,noHit
SMc02616,noHit
SMc02617,noHit
SMc02618,noHit
SMc02619,noHit
SMc02620,RHE_PE00422
purU2,purUe
SMc04153,RHE_PE00415
SMc04152,RHE_PE00414
SMc04151,RHE_PE00413
SMc04150,RHE_PE00412
SMc04149,RHE_PE00411
SMc04148,RHE_PE00406
SMc04147,RHE_PE00405
SMc04146,noHit
SMc04145,RHE_PF00236
ilvD3,noHit
SMc04143,RHE_PF00235
SMc04142,RHE_PF00237
gst9,gstch5
SMc04140,RHE_CH00086
SMc04139,RHE_CH00085
SMc04138,RHE_PB00155
SMc04137,RHE_CH00084
SMc04136,RHE_CH00083
SMc04135,RHE_CH00082
SMc04134,RHE_CH00081
SMc04133,RHE_CH00080
SMc04132,RHE_CH00079
SMc04131,noHit
SMc04130,RHE_CH00078
SMc04129,RHE_CH00077
SMc04128,RHE_CH03719
SMc04127,RHE_CH00188
SMc04126,RHE_CH00189
SMc04125,RHE_CH00190
cdd,cdd
deoD,deoD
deoA,deoA
upp,upp
add,add
deoB,deoB
SMc04118,RHE_CH00199
SMc04117,RHE_CH00200
TRm22,RHE_PA00071
SMc04115,RHE_CH00201
pilA1,noHit
cpaA1,cpaA
cpaB1,cpaB
cpaC1,cpaC
cpaD1,cpaD
cpaE1,cpaE
cpaF1,cpaF
SMc02821,RHE_CH00209
SMc02822,RHE_CH00210
TRm22,RHE_PA00071
SMc02824,RHE_CH00212
pepA2,RHE_CH00213
SMc02826,RHE_CH00216
SMc02827,RHE_CH00217
SMc02828,RHE_CH00179
SMc02829,RHE_CH00178
SMc02830,RHE_CH00177
SMc02831,RHE_CH00176
SMc02832,RHE_CH00175
mepA,mepA
mgsA,mgsA
glk,glk
SMc02836,RHE_CH00171
dapB,dapB1
gpmA,gpmA
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
SMc02841,RHE_CH03669
SMc02842,RHE_CH03670
nth,nth
SMc02844,RHE_CH03672
SMc02845,RHE_CH03673
SMc02846,RHE_CH00135
SMc02847,noHit
SMc02848,RHE_CH00136
gyaR,RHE_CH00138
polA,polA
SMc02851,RHE_CH00150
SMc02852,dapE1
SMc02853,noHit
SMc02854,noHit
SMc02855,RHE_CH01768
SMc02856,RHE_CH00146
dnaK,dnaK
dnaJ,dnaJ1
SMc02859,noHit
SMc02860,noHit
pit,pit
SMc02862,RHE_CH00947
recF,recF
moeB,moeB
SMc02865,RHE_CH00139
SMc02866,noHit
SMc02867,RHE_CH03412
SMc02868,RHE_CH03411
SMc02869,RHE_CH02894
SMc02870,RHE_CH02895
SMc02871,RHE_CH02896
SMc02872,RHE_CH02897
SMc02873,RHE_CH02898
SMc02874,noHit
SMc02875,RHE_CH02899
SMc02876,RHE_CH02900
SMc02877,glmS2
nagA,nagA
cutC,cutC
SMc02880,RHE_CH03685
SMc02881,RHE_PE00322
SMc02882,RHE_CH03674
SMc02883,RHE_CH00091
SMc02884,RHE_CH00187
msrA1,noHit
SMc02886,RHE_CH00186
SMc02887,noHit
SMc02888,noHit
SMc02889,noHit
SMc02890,noHit
SMc02891,noHit
SMc02892,noHit
SMc02893,RHE_CH00988
SMc02894,noHit
SMc02895,noHit
ilvE1,ilvE2
SMc02897,cycM
kdsB,kdsB1
pheA,pheA
SMc02900,noHit
SMc02901,RHE_CH00130
SMc02902,RHE_CH00129
SMc02903,RHE_CH00128
SMc02904,noHit
dnaX,dnaX
SMc02906,RHE_CH00125
SMc02907,noHit
recR,recR
mltB1,RHE_CH00122
SMc02910,RHE_CH00120
SMc02911,RHE_CH00119
nusA,nusA
SMc02913,RHE_CH00117
infB,infB
rbfA,rbfA
truB,truB
SMc00322,RHE_CH03609
rpsO,rpsO
pnp,pnp
rsmC,RHE_CH00110
fabI2,fabI1
fabB,fabB
fabA,fabA
irr,irr
SMc00330,RHE_CH00105
SMc00331,RHE_CH00103
SMc00332,RHE_CH00099
aroA,noHit
cmk,cmk
rpsA,rpsA
SMc00336,noHit
SMc00337,RHE_PB00011
SMc00338,noHit
cyaA,noHit
SMc00340,RHE_PB00144
SMc00341,noHit
rnd2,rnd1
TRm20,RHE_PA00091
SMc00344,noHit
SMc00345,RHE_CH00244
SMc00346,noHit
rnk,noHit
SMc00348,noHit
lepA,lepA
SMc00350,noHit
SMc00351,RHE_CH00250
SMc00352,RHE_CH00251
exoD,noHit
SMc00354,ompA
kamA,kamA
genX,genX
efp,efp
cfa1,noHit
SMc00359,RHE_CH00257
SMc00360,RHE_CH00258
SMc00361,RHE_CH00259
infC,infC
rpmI,rpmI
rplT,rplT
pheS,pheS
pheT,pheT
SMc00367,RHE_CH00265
SMc00368,RHE_CH00266
SMc00369,noHit
SMc00370,RHE_CH00267
SMc00371,RHE_CH00268
SMc00372,RHE_CH02404
SMc00373,RHE_CH00269
SMc00374,RHE_CH00271
SMc00375,RHE_CH00272
SMc00376,noHit
SMc00377,noHit
xseA,xseA
SMc00379,RHE_CH00277
pecS,RHE_CH00278
pecM,RHE_CH00279
SMc00382,RHE_CH00280
gst3,gstch1
SMc00384,RHE_CH00282
SMc00385,RHE_CH00283
SMc00386,RHE_CH00284
tatA,RHE_PF00273
SMc00388,RHE_CH00285
SMc00389,noHit
SMc00390,noHit
SMc00391,noHit
SMc00392,noHit
SMc00393,noHit
guaA,guaA1
pfs,pfs
SMc00396,RHE_CH00299
SMc00397,noHit
SMc00460,RHE_CH00301
corA1,noHit
SMc00400,RHE_CH00302
SMc00401,RHE_CH00303
SMc00402,RHE_CH00304
sun2,sun
SMc00404,RHE_CH00306
SMc00405,RHE_CH00307
SMc00406,RHE_CH00308
gst4,gstch2
SMc00408,upk
SMc00409,noHit
SMc00410,RHE_CH00312
SMc00411,RHE_CH00313
pyrF,pyrF
SMc00413,RHE_CH00315
pmtA,RHE_CH00316
dnaN,dnaN
SMc00416,RHE_CH00319
SMc00418,RHE_CH00320
gshB1,gshB
SMc00420,RHE_CH00323
cysK1,cysK1
SMc00422,RHE_CH00326
SMc00423,noHit
SMc00424,RHE_CH00327
SMc00425,RHE_CH00328
dnaS,dut
prfC,prfC
SMc00428,RHE_CH02945
SMc00429,RHE_CH02946
SMc00430,RHE_CH03492
SMc00431,RHE_CH00337
iolB,iolB
iolE,iolE
iolD,iolD
iolC,iolC
SMc01164,RHE_CH01345
SMc01163,RHE_CH01346
SMc01162,RHE_CH00341
coaBC,dfp
SMc01160,noHit
SMc01159,RHE_PC00052
SMc01158,noHit
SMc01157,RHE_CH01307
aarF,aarF
ubiE,ubiE
mutM,fpg
SMc01153,rpsT
rpsT,rpsT
dnaA,dnaA
SMc01151,RHE_CH03121
SMc01150,RHE_CH03120
SMc01149,RHE_CH03119
SMc01148,noHit
SMc01147,hemNch
SMc01146,RHE_CH00361
SMc01145,RHE_CH00362
rph,rph
hrcA,hrcA
grpE,grpE
ptsN,ptsNch
SMc01140,RHE_CH00406
rpoN,rpoNch
SMc01138,RHE_CH00403
SMc01137,RHE_CH00402
SMc01136,RHE_CH00401
SMc01135,sppA
ihfB,ihfB
SMc01133,RHE_CH00398
SMc01132,RHE_CH00396
SMc01131,RHE_CH00394
SMc01130,spoU
lspA,lpsA
SMc01128,RHE_CH00391
olsB,RHE_CH00390
tme,tme
mutS,mutS
glnD,glnD
mviN,mviN
SMc01122,RHE_CH00384
trpS,trpS
SMc01120,RHE_CH00382
SMc01119,nifUch1
SMc01118,RHE_CH00380
rimI,rimI
plsC,olsA
miaB,RHE_CH00376
phoH,phoH
SMc01113,RHE_CH00374
tlyC,RHE_CH00373
lnt,lnt
phrR,RHE_CH00371
metK,metK
trmB,RHE_CH00369
SMc01107,RHE_CH00368
SMc01106,hsp
iunH,iunH1
mcpX,mcpX1
rbsK,rbsK
SMc01102,RHE_CH00410
def1,def1
fmt,fmt
truA,truA
TRm19C,noHit
TRm19N,noHit
SMc01097,RHE_CH00416
dapE,dapE2
mexF1,mexF1
mexE1,mexE1
SMc01093,RHE_CH03350
SMc01092,RHE_CH03351
SMc01091,noHit
deaD,deaD
SMc01089,noHit
dapD,dapD
SMc01731,RHE_CH00419
SMc01730,RHE_CH00421
SMc01729,noHit
ada,ada
SMc01727,RHE_CH00424
argB,argB
SMc01725,RHE_CH00430
msrB3,noHit
SMc01723,noHit
SMc01722,engB
SMc01721,RHE_CH00437
rnpA,rnpA
rpmH,rpmH
mcpT,mcpT
SMc01718,noHit
merA1,noHit
SMc01716,regM
SMc01715,RHE_CH02165
SMc01714,noHit
SMc01713,noHit
lldD,lldD1
SMc01711,noHit
SMc01710,noHit
SMc01709,noHit
SMc01708,noHit
SMc01707,noHit
SMc01706,noHit
SMc01705,noHit
SMc01704,RHE_CH02703
SMc01703,RHE_PE00320
SMc01702,RHE_CH01593
SMc01701,noHit
putA,putA
SMc02180,noHit
SMc02179,noHit
SMc02178,noHit
SMc02177,noHit
cyaD1,noHit
SMc02175,noHit
SMc02174,RHE_CH00824
frcS,fucUch1
frcR,frcR
frcB,frcB
frcC,frcC
frcA,frcA
frcK,frcK
pyrC,pyrC
pyrE,pyrE
frk,frk
