SMc02793,Smed_3209
SMc02792,Smed_3210
aroE1,Smed_3211
coaE,Smed_3212
dnaQ,Smed_3213
secB,Smed_3214
SMc02787,Smed_3215
SMc02786,Smed_3216
SMc02785,Smed_3217
SMc02784,Smed_3218
SMc02783,Smed_3219
gyrB,Smed_3220
SMc02781,Smed_3221
gabD1,Smed_3222
TRm19,noHit
hpcH,Smed_3223
SMc02777,Smed_3224
SMc02776,Smed_3225
SMc02775,Smed_3226
SMc02774,Smed_3227
SMc02773,Smed_3228
SMc02772,Smed_3229
SMc02771,Smed_3230
SMc02770,Smed_3233
SMc02769,Smed_3234
SMc02768,Smed_3235
trpF,Smed_3236
trpB,Smed_3237
trpA,Smed_3238
accD,Smed_3239
folC,Smed_3240
TRm22,noHit
trxA,Smed_3241
SMc02760,Smed_3242
SMc02759,Smed_3243
SMc02758,Smed_3244
SMc02757,Smed_3245
SMc02756,Smed_3246
ahcY,Smed_3247
SMc02754,Smed_3248
SMc02753,Smed_3249
SMc02752,Smed_3250
chvG,Smed_3251
chvI,Smed_3252
pckA,Smed_3253
SMc02563,Smed_3254
SMc02564,Smed_3255
alkB,Smed_3256
coaA,Smed_3257
hisE,Smed_3258
hisF,Smed_3259
hisA,Smed_3260
hisH,Smed_3261
SMc02573,Smed_3262
hisB,Smed_3263
hslV,Smed_3264
SMc02576,Smed_3265
hslU,Smed_3266
SMc02578,Smed_3267
SMc02579,Smed_3268
SMc02580,Smed_3269
glcB,Smed_3270
SMc02582,Smed_3271
SMc02583,Smed_3272
actR,Smed_3273
actS,Smed_3274
helO,Smed_3275
SMc02587,Smed_3276
SMc02588,Smed_3277
SMc02589,Smed_3278
SMc02590,Smed_6302
SMc02591,Smed_6303
SMc02592,Smed_6304
SMc02593,Smed_6305
SMc02594,Smed_5372
metB,Smed_4014
SMc02596,Smed_5373
SMc04463,noHit
SMc02600,Smed_5364
SMc02602,Smed_5365
folD1,noHit
soxG,Smed_3286
soxA1,Smed_3287
soxD,Smed_3288
soxB,Smed_3289
glxA,Smed_3290
glxB,Smed_3291
glxC,Smed_3292
glxD,Smed_3293
glnT,Smed_3294
SMc02614,Smed_3295
SMc02615,Smed_3296
SMc02616,Smed_3297
SMc02617,Smed_3298
SMc02618,Smed_3299
SMc02619,Smed_3300
SMc02620,Smed_3301
purU2,Smed_3310
SMc04153,Smed_3311
SMc04152,Smed_3312
SMc04151,Smed_3313
SMc04150,Smed_3314
SMc04149,Smed_3315
SMc04148,Smed_3316
SMc04147,Smed_3317
SMc04146,Smed_2995
SMc04145,Smed_3319
ilvD3,Smed_3320
SMc04143,Smed_3321
SMc04142,Smed_3322
gst9,Smed_3323
SMc04140,Smed_3324
SMc04139,Smed_3325
SMc04138,Smed_3326
SMc04137,Smed_3327
SMc04136,Smed_3328
SMc04135,Smed_3329
SMc04134,Smed_3330
SMc04133,Smed_3331
SMc04132,Smed_3332
SMc04131,Smed_3333
SMc04130,Smed_3334
SMc04129,Smed_3335
SMc04128,Smed_3336
SMc04127,Smed_3337
SMc04126,Smed_3338
SMc04125,Smed_3339
cdd,Smed_3340
deoD,Smed_3341
deoA,Smed_3342
upp,Smed_3343
add,Smed_3344
deoB,Smed_3345
SMc04118,Smed_3346
SMc04117,Smed_3347
TRm22,noHit
SMc04115,Smed_3348
pilA1,Smed_3349
cpaA1,Smed_3350
cpaB1,Smed_3351
cpaC1,Smed_3352
cpaD1,Smed_3353
cpaE1,Smed_3354
cpaF1,Smed_3355
SMc02821,Smed_3356
