SMc02793,RL0001
SMc02792,RL0002
aroE1,RL0003
coaE,RL0004
dnaQ,RL0005
secB,secB
SMc02787,RL0007
SMc02786,RL0008
SMc02785,mltA
SMc02784,RL0010
SMc02783,RL0011
gyrB,gyrB1
SMc02781,RL0013
gabD1,gabD4
TRm19,noHit
hpcH,noHit
SMc02777,RL0522
SMc02776,RL0521
SMc02775,RL0520
SMc02774,RL0518
SMc02773,RL0517
SMc02772,RL0516
SMc02771,RL0515
SMc02770,RL0017
SMc02769,RL0018
SMc02768,RL0019
trpF,RL0020
trpB,trpB
trpA,trpA
accD,RL0023
folC,folC2
TRm22,noHit
trxA,RL0025
SMc02760,RL0026
SMc02759,RL0027
SMc02758,RL0028
SMc02757,RL0029
SMc02756,RL0030
ahcY,RL0031
SMc02754,RL0032
SMc02753,RL0033
SMc02752,RL0034
chvG,RL0035
chvI,RL0036
pckA,pckA
SMc02563,RL0038
SMc02564,noHit
alkB,RL0039
coaA,coaA
hisE,RL0041
hisF,hisF
hisA,hisA
hisH,hisH
SMc02573,RL0047
hisB,hisB
hslV,hslV
SMc02576,RL0050
hslU,hslU
SMc02578,RL0052
SMc02579,RL0053
SMc02580,noHit
glcB,glcB
SMc02582,RL0055
SMc02583,RL0056
actR,actR
actS,actS
helO,helO
SMc02587,noHit
SMc02588,noHit
SMc02589,noHit
SMc02590,noHit
SMc02591,noHit
SMc02592,noHit
SMc02593,noHit
SMc02594,noHit
metB,noHit
SMc02596,noHit
SMc04463,RL0593
SMc02600,pRL120639
SMc02602,noHit
folD1,noHit
soxG,soxG2
soxA1,soxA2
soxD,soxD2
soxB,soxB2
glxA,pRL110559
glxB,glxB
glxC,glxC
glxD,glxD
glnT,glnT
SMc02614,noHit
SMc02615,noHit
SMc02616,eutP
SMc02617,noHit
SMc02618,noHit
SMc02619,noHit
SMc02620,pRL110558
purU2,purU
SMc04153,pRL110552
SMc04152,pRL110551
SMc04151,pRL110550
SMc04150,pRL110549
SMc04149,pRL110548
SMc04148,pRL110541
SMc04147,pRL110540
SMc04146,RL0066
SMc04145,pRL120778
ilvD3,noHit
SMc04143,noHit
SMc04142,pRL120777
gst9,RL1212
SMc04140,RL0095
SMc04139,RL0094
SMc04138,pRL90297
SMc04137,RL0093
SMc04136,RL0092
SMc04135,RL0091
SMc04134,RL0090
SMc04133,RL0089
SMc04132,RL0088
SMc04131,pRL100285
SMc04130,RL0087
SMc04129,RL0086
SMc04128,RL4262
SMc04127,RL0197
SMc04126,RL0198
SMc04125,RL0199
cdd,cdd
deoD,punA
deoA,deoA
upp,upp
add,RL0206
deoB,deoB
SMc04118,RL0208
SMc04117,RL0209
TRm22,noHit
SMc04115,pilQ
pilA1,pilA
cpaA1,cpaA
cpaB1,cpaB
cpaC1,rcpA
cpaD1,cpaD
cpaE1,cpaE
cpaF1,cpaF
SMc02821,RL0218
SMc02822,tadC
TRm22,noHit
SMc02824,RL0221
pepA2,RL0222
SMc02826,RL0223
SMc02827,RL0224
SMc02828,RL0189
SMc02829,RL0188
SMc02830,RL0187
SMc02831,RL0186
SMc02832,RL0185
mepA,RL0184
mgsA,RL0183
glk,glk
SMc02836,RL0181
dapB,dapB1
gpmA,gpmA
TRm5C,noHit
TRm3,pRL70121
TRm5N,noHit
SMc02841,RL4205
SMc02842,RL4206
nth,RL4207
SMc02844,RL4208
SMc02845,RL4209
SMc02846,RL0143
SMc02847,RL1320A
SMc02848,RL0144
gyaR,gyaR1
polA,polA
SMc02851,RL0159
SMc02852,RL0157
SMc02853,noHit
SMc02854,noHit
SMc02855,RL1964
SMc02856,RL0153
dnaK,dnaK
dnaJ,dnaJ
SMc02859,noHit
SMc02860,noHit
pit,pit2
SMc02862,pitX
recF,recF
moeB,RL0147
SMc02865,RL0146
SMc02866,noHit
SMc02867,RL2666
SMc02868,RL2667
SMc02869,RL3355
SMc02870,RL3356
SMc02871,RL3357
SMc02872,RL3358
SMc02873,RL3359
SMc02874,noHit
SMc02875,RL3360
SMc02876,RL3361
SMc02877,RL4603
nagA,nagA
cutC,cutC
SMc02880,RL4221
SMc02881,pRL110427
SMc02882,cysZ
SMc02883,RL0100
SMc02884,RL0196
msrA1,noHit
SMc02886,RL0195
SMc02887,noHit
SMc02888,noHit
SMc02889,noHit
SMc02890,noHit
SMc02891,noHit
SMc02892,RL2485
SMc02893,RL2486
SMc02894,noHit
SMc02895,RL0142
ilvE1,ilvE1
SMc02897,cycM
kdsB,kdsB
pheA,RL0139
SMc02900,noHit
SMc02901,RL0138
SMc02902,RL0137
SMc02903,RL0136
SMc02904,RL0135
dnaX,dnaX
SMc02906,RL0133
SMc02907,noHit
recR,recR
mltB1,RL0131
SMc02910,RL0129
SMc02911,RL0128
nusA,nusA
SMc02913,RL0126
infB,infB
rbfA,rbfA
truB,truB
SMc00322,RL4132
rpsO,rpsO
pnp,pnp
rsmC,RL0119
fabI2,fabI1
fabB,fabB
fabA,fabA
irr,irrA
SMc00330,RL0114
SMc00331,RL0112
SMc00332,RL0109
aroA,aroA1
cmk,RL0107
rpsA,rpsA
SMc00336,noHit
SMc00337,pRL90062
SMc00338,noHit
cyaA,cya1
SMc00340,pRL90273
SMc00341,noHit
rnd2,RL0104
TRm20,RL0792
SMc00344,noHit
SMc00345,RL0250
SMc00346,noHit
rnk,noHit
SMc00348,noHit
lepA,lepA
SMc00350,noHit
SMc00351,RL0256
SMc00352,RL0257
exoD,noHit
SMc00354,RL3267
kamA,RL4598
genX,RL4599
efp,efp
cfa1,noHit
SMc00359,mbfA
SMc00360,RL0264
SMc00361,RL0265
infC,infC
rpmI,rpmI
rplT,rplT
pheS,pheS
pheT,pheT
SMc00367,RL0271
SMc00368,RL0272
SMc00369,noHit
SMc00370,RL0273
SMc00371,RL0274
SMc00372,RL2727
SMc00373,RL0275
SMc00374,RL0277
SMc00375,RL0278
SMc00376,noHit
SMc00377,RL2828
xseA,xseA
SMc00379,RL0283
pecS,RL0284
pecM,RL0285
SMc00382,RL0286
gst3,RL0287
SMc00384,RL0288
SMc00385,RL0289
SMc00386,RL0290
tatA,pRL100056
SMc00388,RL0291
SMc00389,noHit
SMc00390,noHit
SMc00391,noHit
SMc00392,RL3053
SMc00393,noHit
guaA,guaA
pfs,RL0316
SMc00396,RL0317
SMc00397,noHit
SMc00460,RL0319
corA1,noHit
SMc00400,RL0320
SMc00401,RL0321
SMc00402,RL0322
sun2,RL0323
SMc00404,RL0324
SMc00405,RL0325
SMc00406,RL0326
gst4,RL0327
SMc00408,RL0328
SMc00409,noHit
SMc00410,RL0329
SMc00411,RL0330
pyrF,pyrF
SMc00413,RL0332
pmtA,pmtA
dnaN,dnaN
SMc00416,RL0335
SMc00418,RL0336
gshB1,RL0338
SMc00420,RL0339
cysK1,cysK
SMc00422,RL0341
SMc00423,RL2635
SMc00424,RL0343
SMc00425,RL0344
dnaS,dut
prfC,prfC
SMc00428,RL3395
SMc00429,RL3396
SMc00430,RL4002
SMc00431,RL0351
iolB,iolB
iolE,mocC
iolD,iolD
iolC,iolC
SMc01164,iolR
SMc01163,RL1497
SMc01162,RL0356
coaBC,coaBC
SMc01160,pRL110061
SMc01159,pRL110062
SMc01158,RL2949
SMc01157,pRL120119
aarF,ubiB
ubiE,ubiE
mutM,mutM
SMc01153,RL0373
rpsT,rpsT
dnaA,dnaA
SMc01151,RL3564
SMc01150,RL3563
SMc01149,RL3562
SMc01148,noHit
SMc01147,hemN2
SMc01146,RL0378
SMc01145,RL0379
rph,rph
hrcA,hrcA
grpE,RL0382
ptsN,ptsN
SMc01140,RL0424
rpoN,rpoN
SMc01138,RL0421
SMc01137,RL0420
SMc01136,RL0419
SMc01135,RL0418
ihfB,ihfB
SMc01133,RL0416
SMc01132,RL0414
SMc01131,RL0412
SMc01130,RL0411
lspA,lspA
SMc01128,RL0409
olsB,RL0408
tme,tme
mutS,mutS
glnD,glnD
mviN,mviN
SMc01122,RL0403
trpS,trpS
SMc01120,RL0401
SMc01119,fssA
SMc01118,RL0399
rimI,RL0398
plsC,RL0396
miaB,miaB
phoH,phoH
SMc01113,RL0393
tlyC,RL0392
lnt,int
phrR,phrR
metK,metK
trmB,RL0388
SMc01107,RL0385
SMc01106,hspH
iunH,iunH1
mcpX,mcpX
rbsK,rbsK2
SMc01102,RL0428
def1,def1
fmt,fmt
truA,truA
TRm19C,noHit
TRm19N,noHit
SMc01097,RL0435
dapE,dapE
mexF1,RL3774
mexE1,RL3775
SMc01093,RL3776
SMc01092,RL3777
SMc01091,noHit
deaD,deaD
SMc01089,noHit
dapD,dapD
SMc01731,RL0438
SMc01730,RL0440
SMc01729,noHit
ada,ada
SMc01727,RL0443
argB,argB
SMc01725,RL0446
msrB3,msrB2
SMc01723,noHit
SMc01722,engB
SMc01721,oxaA
rnpA,RL0454
rpmH,noHit
mcpT,mcpT
SMc01718,noHit
merA1,noHit
SMc01716,regM
SMc01715,RL1054
SMc01714,RL1053
SMc01713,noHit
lldD,lldD3
SMc01711,noHit
SMc01710,noHit
SMc01709,noHit
SMc01708,noHit
SMc01707,noHit
SMc01706,noHit
SMc01705,noHit
SMc01704,RL3171
SMc01703,pRL110425
SMc01702,RL1694
SMc01701,noHit
putA,putA
SMc02180,pRL90129A
SMc02179,noHit
SMc02178,noHit
SMc02177,noHit
cyaD1,noHit
SMc02175,noHit
SMc02174,RL0880
frcS,fucU
frcR,RL0488
frcB,RL0489
frcC,RL0490
frcA,RL0491
frcK,RL0492
pyrC,pyrC
pyrE,RL0501
frk,frk
pgi,pgi
fadD,fadD
SMc02161,RL1464
SMc02160,RL2520
SMc02159,pRL90202
SMc02158,pRL90201
cdsA2,pRL90200
SMc02156,noHit
int,noHit
SMc02202,noHit
SMc02201,noHit
SMc02189,noHit
SMc02200,noHit
SMc02184,pRL120561A
SMc02199,noHit
SMc02203,noHit
SMc02155,noHit
SMc02154,noHit
SMc04429,noHit
SMc02153,noHit
SMc02152,noHit
SMc02151,noHit
SMc02150,RL0537
SMc02149,noHit
SMc02148,RL0539
phoR,RL0540
pstS,RL0542
SMc02145,noHit
SMc02144,RL0543
pstA,RL0544
pstB,RL0545
phoU,phoU
phoB,phoB
SMc02139,RL0548
argD,gabT2
argF1,argF
hslO,hslO
apaG,apaG
SMc02134,noHit
metZ,metZ
SMc02218,RL0555
SMc02219,RL0565
SMc02220,noHit
SMc02221,RL0566
SMc02222,RL0567
SMc02223,RL0568
chaA,cpaA
SMc02225,RL2978
SMc02226,RL2761
fadB,RL0594
fadA,RL0592
SMc02229,RL0591
SMc02230,noHit
SMc02231,noHit
SMc02232,RL0587
SMc02234,RL0586
SMc02235,RL4589
SMc02236,RL0583
SMc02237,RL0582
SMc02238,RL0580
SMc02239,RL0579
SMc02240,RL0577
SMc02241,RL0576
SMc02242,RL0575
SMc02243,RL0574
dinF,dinF
pyrD,RL0572
SMc02246,RL0571
SMc02247,RL0570
SMc02248,RL0569
SMc02249,RL0601
mscL,mscL
SMc02251,RL0603
galE,RL0604
pchB,noHit
qxtB,cbdB
qxtA,noHit
hipO2,pRL100225
SMc02257,pRL100412
SMc02258,pRL100411
SMc02259,pRL100410
SMc02260,pRL100409
SMc02261,noHit
aspC,noHit
ilvB1,noHit
SMc02264,noHit
secD2,secD
SMc02266,RL0231
SMc02267,RL3790
kpsF3,noHit
rkpJ,noHit
rkpI,noHit
rkpH,noHit
rkpG,noHit
wcbR,noHit
rkpU,pssN
pncA,pncA
pncB,RL0191
SMc02277,RL1389
SMc02278,noHit
SMc02279,RL2436
SMc02280,noHit
SMc02281,noHit
SMc02282,noHit
SMc02283,noHit
SMc02284,noHit
cyaE1,noHit
SMc02326,noHit
rnhA2,noHit
SMc02328,noHit
SMc02286,noHit
SMc02287,pinE
TRm11b,noHit
TRm11a,noHit
hsdR,hsdRp11
hsdS,noHit
hsdM,hsdMp11
SMc02297,noHit
TRm1a,noHit
TRm1b,noHit
TRm30.4,RL0836
TRm30.3,noHit
TRm30.2,noHit
TRm30.1,noHit
SMc02303,noHit
SMc02304,noHit
murA,murA
SMc02306,RL0612
hisD1,hisD1
SMc02308,RL0614
SMc02309,RL0615
infA,infA
maf,RL0617
SMc02312,RL0618
SMc04431,noHit
SMc04432,noHit
SMc02313,noHit
SMc02314,noHit
SMc02315,noHit
SMc02316,noHit
SMc02317,RL1361
SMc02318,pRL90271
SMc02319,noHit
SMc02320,RL2247
rhaI,rhaI
rhaD,rhaD
rhaR,rhaR
rhaS,rhaS
rhaT,rhaT
rhaP,rhaP
rhaQ,rhaQ
rhaU,rhaU
rhaK,rhaK
icpA,hemAT
SMc03005,cheX1
cheY1,cheY1
cheA,cheA1
cheW1,cheW1
cheR,cheR1
cheB,cheB1
cheY2,cheY2
cheD,cheD1
SMc03013,RL0694
fliF,fliF
visN,visN
visR,visR
SMc03017,RL0698
flhB,flhB
fliG,fliG
fliN,fliN
fliM,fliM
motA,motA
SMc03023,noHit
flgF,flgF
fliI,fliI
SMc03026,RL0706
flgB,flgB
flgC,flgC
fliE,fliE
flgG,flgG
flgA,flgA
flgI,flgI
motE,RL0713
flgH,flgH
fliL,fliL
fliP,fliP
flaA,noHit
flaB,noHit
flaD,noHit
flaC,flaD
SMc03041,RL0722
motB,motB
motC,motC
fliK,noHit
SMc03045,RL0726
rem,rem
flgE,flgE1
flgK,flgK1
flgL,flgL1
flaF,flaF
flbT,flbT
flgD,flgD
fliQ,fliQ
flhA,flhA
fliR,fliR
SMc03056,RL0737
SMc03071,RL0738
SMc03072,RL0739
SMc03057,RL0740
SMc03058,noHit
folD2,RL0743
aglR,aglR
aglE,aglE
aglF,aglF
aglG,aglG
aglA,aglA1
aglK,aglK
SMc03066,RL0750
TRm22,noHit
edd,edd
