Locus,Sinorhizobium_meliloti_Rm1021,pSymAB
SMc02793,SMc02793,noHit
SMc02792,SMc02792,noHit
SMc02791,SMc02791,SM_b20037
SMc02790,SMc02790,noHit
SMc02789,SMc02789,noHit
SMc02788,SMc02788,noHit
SMc02787,SMc02787,noHit
SMc02786,SMc02786,noHit
SMc02785,SMc02785,noHit
SMc02784,SMc02784,noHit
SMc02783,SMc02783,noHit
SMc02782,SMc02782,noHit
SMc02781,SMc02781,noHit
SMc02780,SMc02780,SMa0805
SMc02779,SMc02779,SM_b20777
SMc02778,SMc02778,noHit
SMc02777,SMc02777,noHit
SMc02776,SMc02776,noHit
SMc02775,SMc02775,SMa1403
SMc02774,SMc02774,noHit
SMc02773,SMc02773,noHit
SMc02772,SMc02772,noHit
SMc02771,SMc02771,noHit
SMc02770,SMc02770,noHit
SMc02769,SMc02769,noHit
SMc02768,SMc02768,noHit
SMc02767,SMc02767,noHit
SMc02766,SMc02766,noHit
SMc02765,SMc02765,noHit
SMc02764,SMc02764,noHit
SMc02763,SMc02763,noHit
SMc02762,SMc02762,SM_b20766
SMc02761,SMc02761,noHit
SMc02760,SMc02760,noHit
SMc02759,SMc02759,noHit
SMc02758,SMc02758,noHit
SMc02757,SMc02757,noHit
SMc02756,SMc02756,noHit
SMc02755,SMc02755,noHit
SMc02754,SMc02754,noHit
SMc02753,SMc02753,noHit
SMc02752,SMc02752,noHit
SMc04446,SMc04446,noHit
SMc02560,SMc02560,noHit
SMc02562,SMc02562,noHit
SMc02563,SMc02563,noHit
SMc02564,SMc02564,noHit
SMc02566,SMc02566,noHit
SMc02567,SMc02567,noHit
SMc02568,SMc02568,noHit
SMc02569,SMc02569,noHit
SMc02570,SMc02570,noHit
SMc02572,SMc02572,noHit
SMc02573,SMc02573,noHit
SMc02574,SMc02574,noHit
SMc02575,SMc02575,noHit
SMc02576,SMc02576,noHit
SMc02577,SMc02577,noHit
SMc02578,SMc02578,noHit
SMc02579,SMc02579,noHit
SMc02580,SMc02580,noHit
SMc02581,SMc02581,noHit
SMc02582,SMc02582,noHit
SMc02583,SMc02583,noHit
SMc02584,SMc02584,noHit
SMc02585,SMc02585,noHit
SMc02586,SMc02586,noHit
SMc02587,SMc02587,noHit
SMc02588,SMc02588,noHit
SMc02589,SMc02589,noHit
SMc02590,SMc02590,noHit
SMc02591,SMc02591,noHit
SMc02592,SMc02592,noHit
SMc02593,SMc02593,noHit
SMc02594,SMc02594,noHit
SMc02595,SMc02595,noHit
SMc02596,SMc02596,noHit
SMc04463,SMc04463,noHit
